duration_conf,init_conf,jours_confinement,nbIr,nbR,nbS,nb_confinement,pic_max,relesae_conf,seed
47.58308424290599,1.0,36.0,0.0,122.0,78.0,3.0,70.0,18.718248888149137,713857021
47.58308424290599,1.0,59.0,0.0,116.0,84.0,5.0,57.0,18.718248888149137,-1735465084
47.58308424290599,1.0,48.0,0.0,146.0,54.0,4.0,83.0,18.718248888149137,1290973367
47.58308424290599,1.0,48.0,0.0,126.0,74.0,4.0,42.0,18.718248888149137,-2114266141
47.58308424290599,1.0,60.0,0.0,137.0,63.0,5.0,75.0,18.718248888149137,561707890
47.58308424290599,1.0,36.0,0.0,132.0,68.0,3.0,82.0,18.718248888149137,-534464644
47.58308424290599,1.0,49.5,0.0,143.0,57.0,5.0,66.0,18.718248888149137,2071052793
47.58308424290599,1.0,24.0,0.0,138.0,62.0,2.0,85.0,18.718248888149137,-1352169657
47.58308424290599,1.0,46.25,0.0,140.0,60.0,4.0,87.0,18.718248888149137,2033116380
47.58308424290599,1.0,48.0,0.0,134.0,66.0,4.0,59.0,18.718248888149137,-1005565995
47.58308424290599,1.0,36.0,0.0,109.0,91.0,3.0,63.0,18.718248888149137,1016300487
47.58308424290599,1.0,48.0,0.0,147.0,53.0,4.0,67.0,18.718248888149137,-2102664162
47.58308424290599,1.0,46.25,0.0,113.0,87.0,4.0,65.0,18.718248888149137,-1679493602
47.58308424290599,1.0,48.0,0.0,168.0,32.0,4.0,67.0,18.718248888149137,-1340109322
47.58308424290599,1.0,60.0,0.0,144.0,56.0,5.0,68.0,18.718248888149137,-139384488
47.58308424290599,1.0,48.0,0.0,154.0,46.0,4.0,69.0,18.718248888149137,-110973835
47.58308424290599,1.0,36.0,0.0,119.0,81.0,3.0,71.0,18.718248888149137,-1841413520
47.58308424290599,1.0,60.0,0.0,129.0,71.0,5.0,64.0,18.718248888149137,1169816218
47.58308424290599,1.0,48.0,0.0,130.0,70.0,4.0,65.0,18.718248888149137,577511041
47.58308424290599,1.0,36.0,0.0,157.0,43.0,3.0,92.0,18.718248888149137,327561711
47.58308424290599,1.0,48.0,0.0,124.0,76.0,4.0,60.0,18.718248888149137,1793492613
47.58308424290599,1.0,48.0,0.0,101.0,99.0,4.0,57.0,18.718248888149137,-1185262793
47.58308424290599,1.0,36.0,0.0,127.0,73.0,3.0,64.0,18.718248888149137,1907482565
47.58308424290599,1.0,48.0,0.0,172.0,28.0,4.0,75.0,18.718248888149137,1496061761
47.58308424290599,1.0,72.0,0.0,174.0,26.0,6.0,57.0,18.718248888149137,-1772962075
47.58308424290599,1.0,72.0,0.0,164.0,36.0,6.0,62.0,18.718248888149137,-610995429
47.58308424290599,1.0,36.0,0.0,117.0,83.0,3.0,68.0,18.718248888149137,895453459
47.58308424290599,1.0,36.0,0.0,120.0,80.0,3.0,67.0,18.718248888149137,-1623181058
47.58308424290599,1.0,36.0,0.0,121.0,79.0,3.0,62.0,18.718248888149137,-1303065438
47.58308424290599,1.0,36.0,0.0,118.0,82.0,3.0,62.0,18.718248888149137,-600511897
47.58308424290599,1.0,60.0,0.0,175.0,25.0,5.0,58.0,18.718248888149137,-1899071798
47.58308424290599,1.0,36.0,0.0,132.0,68.0,3.0,83.0,18.718248888149137,-531282581
47.58308424290599,1.0,36.0,0.0,124.0,76.0,3.0,66.0,18.718248888149137,-163559094
47.58308424290599,1.0,36.0,0.0,121.0,79.0,3.0,64.0,18.718248888149137,1131909593
47.58308424290599,1.0,48.0,0.0,151.0,49.0,4.0,88.0,18.718248888149137,18806159
47.58308424290599,1.0,47.5,0.0,144.0,56.0,4.0,66.0,18.718248888149137,-1868774756
47.58308424290599,1.0,60.0,0.0,178.0,22.0,5.0,83.0,18.718248888149137,833460442
47.58308424290599,1.0,60.0,0.0,145.0,55.0,5.0,68.0,18.718248888149137,-211362206
47.58308424290599,1.0,36.0,0.0,91.0,109.0,3.0,55.0,18.718248888149137,845743715
47.58308424290599,1.0,48.0,0.0,127.0,73.0,4.0,64.0,18.718248888149137,333454224
47.58308424290599,1.0,36.0,0.0,89.0,111.0,3.0,55.0,18.718248888149137,1204295662
47.58308424290599,1.0,48.0,0.0,82.0,118.0,4.0,52.0,18.718248888149137,-997448004
47.58308424290599,1.0,48.0,0.0,92.0,108.0,4.0,50.0,18.718248888149137,936675659
47.58308424290599,1.0,48.0,0.0,124.0,76.0,4.0,56.0,18.718248888149137,527465023
47.58308424290599,1.0,36.0,0.0,162.0,38.0,3.0,95.0,18.718248888149137,1171280012
47.58308424290599,1.0,36.75,0.0,122.0,78.0,4.0,71.0,18.718248888149137,2077003335
45.17630628810734,1.0,34.5,0.0,157.0,43.0,3.0,120.0,43.857962283781255,-2118434694
47.58308424290599,1.0,48.0,0.0,154.0,46.0,4.0,67.0,18.718248888149137,-529742317
47.58308424290599,1.0,38.25,0.0,123.0,77.0,4.0,71.0,18.718248888149137,1577886127
47.58308424290599,1.0,36.0,0.0,102.0,98.0,3.0,58.0,18.718248888149137,-1937034727
47.58308424290599,1.0,46.5,0.0,139.0,61.0,4.0,69.0,18.718248888149137,-349145630
47.58308424290599,1.0,48.0,0.0,146.0,54.0,4.0,87.0,18.718248888149137,497938568
47.58308424290599,1.0,48.0,0.0,138.0,62.0,4.0,71.0,18.718248888149137,2024012475
47.58308424290599,1.0,60.0,0.0,168.0,32.0,5.0,80.0,18.718248888149137,1780520455
47.58308424290599,1.0,45.25,0.0,141.0,59.0,4.0,81.0,18.718248888149137,-537728506
45.17630628810734,1.0,34.5,0.0,163.0,37.0,3.0,117.0,43.857962283781255,1060613187
47.58308424290599,1.0,60.0,0.0,125.0,75.0,5.0,59.0,18.718248888149137,-149789997
47.58308424290599,1.0,36.0,0.0,103.0,97.0,3.0,59.0,18.718248888149137,-940107046
47.58308424290599,1.0,36.0,0.0,152.0,48.0,3.0,97.0,18.718248888149137,-1760880112
47.58308424290599,1.0,36.0,0.0,115.0,85.0,3.0,79.0,18.718248888149137,-673591799
47.58308424290599,1.0,48.0,0.0,110.0,90.0,4.0,57.0,18.718248888149137,-1263806269
