evolution$generation,init_conf,duration_conf,relesae_conf,jours_confinement,pic_max,evolution$samples
2200,1.0,141.64343145954953,52.03543754073207,18.25,45.0,100
2200,1.0009848933582057,157.72431814394173,76.32214349354446,19.875,48.0,100
2200,1.000000674995671,125.3825780423327,1.0,17.875,47.5,100
2200,1.0,85.009737562947,77.0,17.625,43.5,100
2200,1.0,151.47855999308814,77.0,17.25,44.0,100
2200,1.0198735887367558,187.1315903072999,76.98258128987877,18.625,48.0,100
2200,1.0,211.93092964459976,77.0,17.25,42.0,100
2200,1.0,155.66740170063926,51.19053196674976,17.0,41.0,100
2200,1.0,64.72757633785642,1.0,18.25,43.0,100
2200,2.920857141265183,209.13912554707917,63.82920231699226,18.125,50.0,100
2200,1.0,129.54837065042125,31.130830838850127,16.625,45.0,100
2200,1.5178947993666692,120.68220508972324,60.13648427795903,18.25,49.0,100
2200,1.0,232.48851407380397,57.30518720537946,18.625,43.5,100
2200,1.0,157.6410775784958,77.0,17.375,43.0,100
2200,2.9244839615852203,165.109520626293,77.0,18.375,50.0,100
2200,1.0,112.98312937516725,40.4537533458653,18.5,43.0,100
2200,1.0,124.21832305104903,76.97829505957496,19.375,43.5,100
2200,1.0,178.12930191874497,39.62313630701098,17.125,41.0,100
2200,1.0,168.52128596469976,75.0721950054512,17.875,43.0,100
2200,1.0,146.89275178257785,77.0,16.5,45.5,100
2200,1.0,109.14218796167896,74.9210118850897,18.0,43.5,100
2200,1.7317797915336017,90.30585118448724,76.99999999999999,19.0,50.0,100
2200,1.3747207648896076,205.64615653363498,77.0,18.75,48.0,100
2200,1.0,238.0,52.70565134216121,18.25,43.5,100
2200,1.0,67.91187816071363,25.105057445179412,17.0,42.0,100
2200,1.0,56.91486231849212,41.23284783920475,28.5,47.0,100
2200,1.431775286940875,177.833961506621,30.74375084459614,17.75,48.0,100
2200,1.3715300165436792,200.85080089005797,76.99999999999999,18.0,48.0,100
2200,1.996887200681981,187.45331297528753,3.0157188888359547,17.25,46.0,100
2200,1.1853581985338166,159.11473301918554,75.07894206229477,17.5,47.0,100
2200,1.0,216.84327087520782,77.0,17.625,46.0,100
2200,1.0,134.75502380914554,6.371879700200898,17.875,41.5,66
2200,1.0,229.90895680702297,59.72577847080871,17.375,43.5,32
2200,5.451608498854337,72.6168770957983,77.0,15.5,45.0,3
2200,1.8999305069987393,157.61058826019047,2.2023242406463304,15.625,45.0,4
2200,5.197570037942804,238.0,77.0,14.25,47.0,1
2200,17.0,53.806563560455984,77.0,27.0,42.0,1
2200,1.0,91.88876717249356,69.2086053035906,18.0,44.0,35
2200,1.382516566682104,130.6526724084714,30.155052223339567,18.0,46.0,55
2200,1.0,226.62333594518063,3.915046546798022,18.125,45.5,60
2200,1.0,189.23636009452557,37.23709177042302,19.0,43.5,30
2200,1.0,202.2408423754421,73.70054318849385,18.25,46.0,53
2200,1.225685617145089,218.28516095997716,15.693986665743676,19.25,49.0,36
2200,1.8631443129621066,195.1539679727055,47.6111131524747,18.875,47.0,26
