evolution$generation,initProportionOfRecovered,initProportionOfRecovered,finalProportionInfected,evolution$samples
20000,71.36245188374394,71.36245188374394,26.9,4
20000,44.620636860923355,44.620636860923355,55.400000000000006,14
20000,80.89069269547548,80.89069269547548,15.0,100
20000,72.65149218754735,72.65149218754735,25.8,100
20000,71.06746126736361,71.06746126736361,27.400000000000002,100
20000,53.31025885130538,53.31025885130538,44.0,1
20000,45.1731872288597,45.1731872288597,54.6,24
20000,3.0076973208120186,3.0076973208120186,97.0,3
20000,76.44301676190332,76.44301676190332,21.0,100
20000,46.60147565766166,46.60147565766166,52.400000000000006,1
20000,45.54797596481237,45.54797596481237,53.0,1
20000,42.8137998625818,42.8137998625818,56.99999999999999,38
20000,68.78273064789353,68.78273064789353,29.799999999999997,50
20000,77.42370287633202,77.42370287633202,19.2,33
20000,3.651138128138836,3.651138128138836,96.39999999999999,1
20000,88.00524259408556,88.00524259408556,0.2,6
20000,77.80808515502665,77.80808515502665,18.8,84
20000,16.055796743969886,16.055796743969886,84.0,2
20000,58.43295612242706,58.43295612242706,41.199999999999996,33
20000,45.0908044184332,45.0908044184332,53.6,1
20000,19.50461048644862,19.50461048644862,80.60000000000001,1
20000,25.29193263555648,25.29193263555648,74.0,1
20000,49.748597449706466,49.748597449706466,49.2,1
20000,76.91295544776709,76.91295544776709,20.200000000000003,70
20000,55.92689061178325,55.92689061178325,43.4,11
20000,26.07442452360068,26.07442452360068,73.6,1
20000,64.99800267755396,64.99800267755396,34.0,100
20000,27.676156431318542,27.676156431318542,72.39999999999999,1
20000,31.3498945616899,31.3498945616899,68.4,1
20000,50.79932938864419,50.79932938864419,47.8,1
20000,32.308821278533586,32.308821278533586,67.0,1
20000,54.26799649585011,54.26799649585011,45.7,2
20000,37.51902956063837,37.51902956063837,61.8,1
20000,17.073657468623672,17.073657468623672,82.8,9
20000,28.776107672674843,28.776107672674843,71.2,5
20000,47.17916925165161,47.17916925165161,52.0,1
20000,46.22571636675412,46.22571636675412,53.300000000000004,2
20000,2.3142455354639075,2.3142455354639075,97.8,1
20000,39.00419767045897,39.00419767045897,60.599999999999994,4
20000,36.247062336150606,36.247062336150606,63.6,1
20000,5.864661668880853,5.864661668880853,94.19999999999999,1
20000,9.264844353367087,9.264844353367087,90.4,1
20000,28.32448676987069,28.32448676987069,71.8,6
20000,5.095785263327447,5.095785263327447,94.8,1
20000,22.950773214917668,22.950773214917668,76.8,1
20000,6.3654304356593805,6.3654304356593805,93.8,1
20000,24.59957868828525,24.59957868828525,74.4,1
20000,10.070364079158765,10.070364079158765,90.0,1
20000,31.50726168184741,31.50726168184741,67.2,1
20000,52.415117412725365,52.415117412725365,47.199999999999996,1
20000,10.57898808197061,10.57898808197061,89.60000000000001,1
20000,10.922188139737703,10.922188139737703,89.0,1
20000,42.18716265925096,42.18716265925096,56.8,3
20000,42.91509041379516,42.91509041379516,56.099999999999994,2
20000,2.6673370355130013,2.6673370355130013,97.39999999999999,1
20000,70.91088851706553,70.91088851706553,26.200000000000003,3
20000,38.202385185618446,38.202385185618446,60.8,1
20000,23.966103133690655,23.966103133690655,76.0,2
20000,30.67007727761004,30.67007727761004,68.8,1
20000,58.08256744882405,58.08256744882405,20.6,2
20000,34.71467982198134,34.71467982198134,65.4,1
20000,24.50623702897752,24.50623702897752,75.6,2
20000,29.663136225801285,29.663136225801285,70.19999999999999,1
20000,36.68842886535562,36.68842886535562,63.0,1
20000,73.20202533646952,73.20202533646952,11.9,2
20000,36.89776931846047,36.89776931846047,62.8,3
20000,1.8175860906682253,1.8175860906682253,98.2,1
20000,7.445343653732422,7.445343653732422,92.2,1
20000,18.444738925471196,18.444738925471196,81.39999999999999,3
20000,12.273209800883567,12.273209800883567,87.5,2
20000,0.48019055220452356,0.48019055220452356,99.6,1
20000,22.260817661615544,22.260817661615544,77.4,1
20000,82.1253210117463,82.1253210117463,12.7,100
20000,5.544510956863433,5.544510956863433,94.6,3
20000,37.91528646792446,37.91528646792446,61.4,1
20000,22.57845718212171,22.57845718212171,77.60000000000001,6
20000,40.81262728764694,40.81262728764694,58.4,1
20000,4.548927749199668,4.548927749199668,95.19999999999999,1
20000,40.41583798266388,40.41583798266388,59.5,2
20000,49.645340540218896,49.645340540218896,50.4,3
20000,48.44217016606231,48.44217016606231,50.0,1
20000,8.828268211202667,8.828268211202667,91.2,1
20000,51.818912050564236,51.818912050564236,47.4,1
20000,29.291303721074673,29.291303721074673,70.69999999999999,4
20000,28.178868356483367,28.178868356483367,71.39999999999999,1
20000,9.256229438826367,9.256229438826367,90.8,3
20000,18.88030556444641,18.88030556444641,81.0,7
20000,4.004422721154377,4.004422721154377,96.1,2
20000,32.99663457301726,32.99663457301726,65.60000000000001,1
20000,53.18849369274483,53.18849369274483,46.0,1
20000,40.28532395868768,40.28532395868768,59.199999999999996,1
20000,35.534405792850244,35.534405792850244,64.0,1
20000,7.217282299055906,7.217282299055906,92.80000000000001,1
20000,16.238167024064044,16.238167024064044,83.8,1
20000,15.648913367456984,15.648913367456984,84.39999999999999,5
20000,16.60454091333559,16.60454091333559,83.39999999999999,1
20000,32.97741346139747,32.97741346139747,66.5,2
20000,13.890416401182554,13.890416401182554,86.1,2
20000,35.95224895639114,35.95224895639114,63.900000000000006,2
20000,15.046073805743877,15.046073805743877,84.8,1
20000,41.08268482711075,41.08268482711075,58.699999999999996,16
20000,12.024207261343031,12.024207261343031,87.9,2
20000,23.351744787417644,23.351744787417644,76.4,1
