run,immunised,duration,infected
283,10,491,99.9154192253602
285,10,496,99.9254287844892
284,10,553,99.8703762092799
287,10,555,99.8903953275378
288,10,526,99.9104144457957
289,10,566,99.8503570910219
286,10,619,99.9104144457957
290,10,664,99.8703762092799
292,10,682,99.9104144457957
295,10,492,99.8803857684088
294,10,568,99.9104144457957
293,10,653,99.8903953275378
291,10,652,99.8903953275378
297,10,605,99.9154192253602
296,10,622,99.9304335640537
298,10,638,99.8954001071023
299,10,596,99.8753809888443
301,15,581,99.8312211691577
300,10,723,99.8903953275378
307,15,569,99.8524178826073
304,15,637,99.8365203475201
302,15,698,99.8365203475201
303,15,721,99.8259219907953
306,15,678,99.7782293855338
308,15,550,99.7570326720842
305,15,695,99.8736145960569
311,15,513,99.8630162393321
310,15,722,99.7517334937218
313,15,582,99.8312211691577
314,15,557,99.8100244557081
312,15,579,99.7888277422586
309,15,680,99.8471187042449
316,15,672,99.8577170609697
315,15,660,99.7994260989834
317,15,657,99.7888277422586
320,15,527,99.8471187042449
318,15,547,99.7888277422586
323,15,476,99.8471187042449
319,15,736,99.8630162393321
321,15,619,99.7782293855338
322,15,663,99.8524178826073
326,15,558,99.8206228124329
325,15,634,99.7888277422586
327,15,744,99.8047252773458
328,15,662,99.8365203475201
324,15,824,99.8259219907953
331,15,622,99.8259219907953
332,15,622,99.8153236340705
330,15,732,99.8312211691577
329,15,663,99.7623318504466
333,15,645,99.794126920621
336,15,491,99.8418195258825
335,15,677,99.8630162393321
334,15,738,99.8577170609697
338,15,520,99.8630162393321
337,15,692,99.7888277422586
340,15,597,99.8524178826073
341,15,607,99.8100244557081
339,15,665,99.8365203475201
343,15,673,99.7782293855338
346,15,549,99.7093400668227
345,15,613,99.8683154176945
344,15,681,99.7252376019098
342,15,674,99.7782293855338
349,15,500,99.8365203475201
348,15,527,99.8312211691577
351,15,535,99.8100244557081
350,15,637,99.7729302071714
347,15,609,99.8683154176945
352,15,628,99.8736145960569
354,15,685,99.794126920621
355,15,692,99.7729302071714
353,15,684,99.8206228124329
356,15,570,99.8153236340705
358,15,627,99.8100244557081
357,15,686,99.8259219907953
360,15,629,99.8365203475201
359,15,647,99.8577170609697
362,15,656,99.8100244557081
361,15,613,99.8206228124329
365,15,537,99.8577170609697
363,15,598,99.794126920621
367,15,645,99.767631028809
364,15,743,99.8736145960569
369,15,477,99.7994260989834
366,15,566,99.8047252773458
368,15,668,99.794126920621
370,15,683,99.7782293855338
374,15,605,99.8047252773458
371,15,735,99.8047252773458
372,15,642,99.8418195258825
373,15,713,99.8736145960569
376,15,651,99.8365203475201
378,15,485,99.7994260989834
379,15,579,99.8577170609697
375,15,657,99.8259219907953
377,15,762,99.7252376019098
380,15,638,99.8259219907953
382,15,713,99.8206228124329
381,15,735,99.7994260989834
387,15,476,99.8153236340705
385,15,613,99.7994260989834
383,15,611,99.8312211691577
384,15,644,99.8047252773458
388,15,597,99.8683154176945
389,15,524,99.7994260989834
386,15,604,99.8312211691577
390,15,671,99.8471187042449
393,15,686,99.8259219907953
391,15,713,99.8047252773458
392,15,704,99.8047252773458
395,15,563,99.8524178826073
394,15,769,99.8524178826073
397,15,701,99.8047252773458
398,15,675,99.8153236340705
396,15,821,99.794126920621
399,15,616,99.8047252773458
400,15,658,99.8524178826073
402,20,533,99.7139768478897
403,20,621,99.7815413720103
401,20,806,99.7139768478897
408,20,643,99.7027160938697
404,20,750,99.5450655375884
407,20,802,99.7364983559299
405,20,851,99.6801945858295
406,20,892,99.6689338318094
409,20,638,99.6745642088194
412,20,656,99.6745642088194
410,20,827,99.6689338318094
413,20,693,99.7027160938697
411,20,867,99.74212873294
418,20,635,99.6689338318094
414,20,749,99.6351515697491
417,20,798,99.6520427007792
416,20,853,99.6464123237692
415,20,805,99.5732174226386
419,20,734,99.7252376019098
421,20,560,99.6970857168596
420,20,812,99.6576730777893
422,20,705,99.6295211927391
424,20,561,99.7702806179902
423,20,854,99.6858249628395
426,20,647,99.7308679789199
427,20,666,99.6858249628395
425,20,816,99.6464123237692
432,20,586,99.7364983559299
429,20,722,99.6013693076888
430,20,773,99.6520427007792
428,20,772,99.6745642088194
431,20,747,99.618260438719
433,20,766,99.7139768478897
434,20,708,99.7590198639701
435,20,674,99.6576730777893
436,20,692,99.7590198639701
437,20,696,99.6801945858295
438,20,730,99.6126300617089
443,20,510,99.6689338318094
439,20,560,99.6013693076888
441,20,578,99.8040628800505
445,20,499,99.7027160938697
440,20,782,99.5901085536688
444,20,640,99.6633034547993
442,20,691,99.6069996846989
446,20,759,99.7139768478897
447,20,779,99.6351515697491
448,20,698,99.74212873294
449,20,773,99.6689338318094
454,20,655,99.6745642088194
452,20,762,99.5844781766587
451,20,644,99.618260438719
453,20,747,99.5732174226386
455,20,769,99.618260438719
456,20,643,99.7027160938697
457,20,598,99.7759109950002
450,20,861,99.6576730777893
458,20,651,99.6689338318094
463,20,606,99.6858249628395
459,20,734,99.5844781766587
461,20,730,99.7590198639701
460,20,805,99.6970857168596
464,20,688,99.7196072248998
462,20,730,99.7364983559299
465,20,690,99.6801945858295
467,20,666,99.6689338318094
466,20,797,99.5732174226386
468,20,711,99.5957389306788
469,20,632,99.7083464708797
470,20,619,99.6914553398496
473,20,726,99.6407819467592
472,20,743,99.7196072248998
