infected, seed, immunised
0.054051619296428086,-466085303,75.0
0.07206882572857079,-703606196,75.0
0.0,1705947979,75.0
0.018017206432142698,930501521,75.0
0.018017206432142698,-1373331178,75.0
0.0,1792264058,75.0
0.054051619296428086,282190862,75.0
0.054051619296428086,-2125582947,75.0
0.3062925093464258,361471346,75.0
0.28827530291428316,-2036922075,75.0
0.0,143422324,75.0
0.07206882572857079,1157178479,75.0
0.018017206432142698,837160885,75.0
0.0,864960549,75.0
0.0,951047114,75.0
0.27025809648214044,-210837703,75.0
0.2522408900499977,757918239,75.0
0.036034412864285395,-459582260,75.0
0.09008603216071348,1883836976,75.0
0.09008603216071348,845534619,75.0
0.0,596933609,75.0
0.16215485788928427,-1934734897,75.0
0.10810323859285617,1318120483,75.0
0.018017206432142698,1133086189,75.0
0.18017206432142696,-1952001397,75.0
0.07206882572857079,-1601385197,75.0
0.10810323859285617,-311499612,75.0
0.018017206432142698,789617931,75.0
0.12612044502499886,-1871808254,75.0
0.036034412864285395,-995724524,75.0
0.12612044502499886,1133671432,75.0
0.14413765145714158,374764366,75.0
0.0,390938812,75.0
0.054051619296428086,-1535562249,75.0
0.07206882572857079,-1575498225,75.0
0.0,1972291002,75.0
0.0,1233099403,75.0
0.0,1998173187,75.0
0.12612044502499886,391105827,75.0
0.018017206432142698,-835857712,75.0
0.0,791831449,75.0
0.0,-1679363992,75.0
0.0,-1304553178,75.0
0.054051619296428086,1605735444,75.0
0.12612044502499886,-1112630330,75.0
0.054051619296428086,895686161,75.0
0.07206882572857079,-2071836028,75.0
0.018017206432142698,-485478609,75.0
0.10810323859285617,-1092119396,75.0
0.2522408900499977,623956736,75.0
0.036034412864285395,-685686810,75.0
0.0,-179394123,75.0
0.2522408900499977,-1169803471,75.0
0.2522408900499977,982950029,75.0
0.036034412864285395,-879148604,75.0
0.036034412864285395,-102714387,75.0
0.054051619296428086,546791297,75.0
0.036034412864285395,-399495443,75.0
0.5585333993964237,-785562968,75.0
0.09008603216071348,-1081624424,75.0
0.10810323859285617,1253703740,75.0
0.054051619296428086,-2141739914,75.0
0.07206882572857079,-985502712,75.0
0.07206882572857079,-1721695993,75.0
0.036034412864285395,170546481,75.0
0.12612044502499886,1583247017,75.0
0.054051619296428086,1965297021,75.0
0.3963785415071393,-264266444,75.0
0.018017206432142698,-818940061,75.0
0.036034412864285395,2085756359,75.0
0.10810323859285617,-243582084,75.0
0.18017206432142696,-820788889,75.0
0.09008603216071348,-332575042,75.0
0.23422368361785506,-1700553985,75.0
0.036034412864285395,-941019586,75.0
0.0,-778886891,75.0
0.018017206432142698,220261681,75.0
0.19818927075356965,-1902679580,75.0
0.12612044502499886,1830069705,75.0
0.018017206432142698,504417727,75.0
0.054051619296428086,2100576505,75.0
0.14413765145714158,-820557645,75.0
0.2522408900499977,-197217859,75.0
0.2522408900499977,1202365555,75.0
0.036034412864285395,-1443360823,75.0
0.036034412864285395,264189510,75.0
0.018017206432142698,-1644894147,75.0
0.09008603216071348,-970335880,75.0
0.0,1069319377,75.0
0.018017206432142698,-1060570944,75.0
0.07206882572857079,-891148770,75.0
0.07206882572857079,-1362008266,75.0
0.14413765145714158,525693867,75.0
0.27025809648214044,-2006391716,75.0
0.036034412864285395,1566739092,75.0
0.23422368361785506,1694794697,75.0
0.0,1994675517,75.0
0.09008603216071348,-578679191,75.0
0.0,-1395306306,75.0
0.07206882572857079,-518928583,75.0
0.0,-350454447,75.0
0.0,617436579,75.0
0.16215485788928427,1595914679,75.0
0.036034412864285395,-1273111097,75.0
0.018017206432142698,-1845841146,75.0
0.19818927075356965,2072020800,75.0
0.018017206432142698,181749438,75.0
0.16215485788928427,-429326714,75.0
0.10810323859285617,-616035973,75.0
0.28827530291428316,-1700264075,75.0
0.0,1073550958,75.0
0.09008603216071348,1388366924,75.0
0.036034412864285395,-528739371,75.0
0.0,-895817350,75.0
0.036034412864285395,570055761,75.0
0.018017206432142698,-791552397,75.0
0.0,211067730,75.0
0.07206882572857079,-646611656,75.0
0.07206882572857079,1574393747,75.0
0.018017206432142698,-38614181,75.0
0.09008603216071348,656709237,75.0
0.0,-2069831991,75.0
0.0,1956821018,75.0
0.27025809648214044,1840795333,75.0
0.018017206432142698,-1235290118,75.0
0.07206882572857079,-1408747845,75.0
0.018017206432142698,-439872109,75.0
0.0,2000701757,75.0
0.0,1614727498,75.0
0.21620647718571234,-34271173,75.0
0.036034412864285395,-1053474125,75.0
0.09008603216071348,-892167863,75.0
0.0,-144421481,75.0
0.14413765145714158,-265325608,75.0
0.036034412864285395,-1841504264,75.0
0.054051619296428086,-1205113276,75.0
0.0,-2014724134,75.0
0.09008603216071348,696704484,75.0
0.0,1181871144,75.0
0.036034412864285395,-439997893,75.0
0.07206882572857079,979562844,75.0
0.21620647718571234,-744630318,75.0
0.2522408900499977,1045681472,75.0
0.09008603216071348,-551049473,75.0
0.018017206432142698,-487393467,75.0
0.10810323859285617,-173016561,75.0
0.036034412864285395,1435023471,75.0
0.018017206432142698,-222717239,75.0
0.0,1586246633,75.0
0.0,-331492933,75.0
0.10810323859285617,-485823777,75.0
0.0,-1929878704,75.0
0.0,-1388780121,75.0
0.036034412864285395,-1175252242,75.0
0.07206882572857079,-278213685,75.0
0.018017206432142698,1866960289,75.0
0.10810323859285617,1284931418,75.0
0.12612044502499886,-1994471654,75.0
0.09008603216071348,1053386725,75.0
0.018017206432142698,-195937340,75.0
0.036034412864285395,1697382202,75.0
0.0,-68496890,75.0
0.14413765145714158,-100413210,75.0
0.0,1659972591,75.0
0.0,-1452630978,75.0
0.036034412864285395,-631550080,75.0
0.018017206432142698,-1379064932,75.0
0.09008603216071348,-1892050787,75.0
0.018017206432142698,827702728,75.0
0.0,657187556,75.0
0.0,474263923,75.0
0.6306022251249943,1758874352,75.0
0.0,719484796,75.0
0.0,1049221739,75.0
0.09008603216071348,-1542616178,75.0
0.054051619296428086,2086484800,75.0
0.054051619296428086,1066244516,75.0
0.0,-1895569883,75.0
0.07206882572857079,2091332499,75.0
0.07206882572857079,-975670323,75.0
0.0,-1701458947,75.0
0.018017206432142698,1769055733,75.0
0.0,1070272998,75.0
0.018017206432142698,415253653,75.0
0.036034412864285395,538835859,75.0
0.018017206432142698,1471173653,75.0
0.10810323859285617,227828280,75.0
0.09008603216071348,421697202,75.0
0.0,-1616328399,75.0
0.09008603216071348,-1126854478,75.0
0.018017206432142698,614157403,75.0
0.07206882572857079,179956298,75.0
0.018017206432142698,-470203300,75.0
0.0,1864293824,75.0
0.10810323859285617,-747706787,75.0
0.018017206432142698,670147487,75.0
0.10810323859285617,-1730883042,75.0
0.07206882572857079,1231551742,75.0
0.036034412864285395,-1988711249,75.0
0.09008603216071348,-1164869178,75.0
0.036034412864285395,867356968,75.0
0.07206882572857079,1714477900,75.0
0.18017206432142696,-1796194908,75.0
0.018017206432142698,285362144,75.0
0.0,2131977330,75.0
0.0,-1099916714,75.0
0.018017206432142698,-121126597,75.0
0.0,-1458399875,75.0
0.054051619296428086,-1465251533,75.0
0.14413765145714158,1612282558,75.0
0.18017206432142696,-1847115145,75.0
0.07206882572857079,-58493204,75.0
0.036034412864285395,-198364443,75.0
0.0,-628771992,75.0
0.054051619296428086,-1200482647,75.0
0.45043016080356746,1905939024,75.0
0.0,1622348918,75.0
0.23422368361785506,-1593013911,75.0
0.10810323859285617,2143160951,75.0
0.018017206432142698,1974099606,75.0
0.036034412864285395,-2006723612,75.0
0.12612044502499886,1184200024,75.0
0.16215485788928427,-317883458,75.0
0.036034412864285395,-330672976,75.0
0.0,164280114,75.0
0.16215485788928427,-476601378,75.0
0.018017206432142698,-1473882198,75.0
0.14413765145714158,960484732,75.0
0.018017206432142698,1526292985,75.0
0.0,-769142975,75.0
0.036034412864285395,1035521289,75.0
0.12612044502499886,-988575255,75.0
0.14413765145714158,-1084402276,75.0
0.0,1460009530,75.0
0.0,-1525730000,75.0
0.10810323859285617,-937586721,75.0
0.0,-882716674,75.0
0.0,-1227079334,75.0
0.21620647718571234,223702064,75.0
0.036034412864285395,940885939,75.0
0.12612044502499886,-211393769,75.0
0.07206882572857079,2106513903,75.0
0.0,-1436056054,75.0
0.21620647718571234,2028387411,75.0
0.0,-764008168,75.0
0.10810323859285617,-97823241,75.0
0.018017206432142698,15940392,75.0
0.054051619296428086,162748757,75.0
0.07206882572857079,-289166355,75.0
0.0,-549141515,75.0
0.07206882572857079,1970226466,75.0
0.054051619296428086,-664964624,75.0
0.018017206432142698,263355922,75.0
0.0,-1972014225,75.0
0.018017206432142698,-1474044709,75.0
0.036034412864285395,-610795076,75.0
0.12612044502499886,1310890131,75.0
0.07206882572857079,-760370650,75.0
0.14413765145714158,-2046045636,75.0
0.16215485788928427,385297323,75.0
0.07206882572857079,67252365,75.0
0.0,-1889444944,75.0
