"[run number]","SCENARIO","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","[step]","MaxI%","nb-non-S%","epidemic-duration-final"
"186","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"187","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"189","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"190","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"191","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"181","Laisser-faire","1","0.5","0.3","121","0.1","0.1","30"
"179","Laisser-faire","1","0.5","0.3","144","0.2","0.25","36"
"178","Laisser-faire","1","0.5","0.3","156","0.1","0.15","39"
"194","Laisser-faire","1","0.5","0.3","76","0.1","0.1","19"
"195","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"197","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"196","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"198","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"200","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"192","Laisser-faire","1","0.5","0.3","130","0.05","0.1","33"
"193","Laisser-faire","1","0.5","0.3","115","0.1","0.1","29"
"201","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"188","Laisser-faire","1","0.5","0.3","142","0.1","0.15","36"
"202","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"203","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"204","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"205","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"206","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"207","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"208","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"210","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"209","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"199","Laisser-faire","1","0.5","0.3","128","0.1","0.15","32"
"211","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"212","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"213","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"214","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"215","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"216","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"217","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"218","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"219","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"221","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"222","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"224","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"226","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"225","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"227","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"223","Laisser-faire","1","0.5","0.8","104","0.1","0.1","26"
"229","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"230","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"231","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"233","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"232","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"220","Laisser-faire","1","0.5","0.8","126","0.1","0.1","32"
"235","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"236","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"237","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"238","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"234","Laisser-faire","1","0.5","0.8","109","0.1","0.1","27"
"240","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"241","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"239","Laisser-faire","1","0.5","0.8","88","0.1","0.1","22"
"242","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"243","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"244","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"247","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"245","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"246","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"249","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"228","Laisser-faire","1","0.5","0.8","172","0.15","0.25","43"
"251","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"252","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"254","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"253","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"255","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"256","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"257","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"258","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"259","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"250","Laisser-faire","1","0.5","0.8","120","0.1","0.1","30"
"262","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"261","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"248","Laisser-faire","1","0.5","0.8","137","0.05","0.1","34"
"263","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"264","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"265","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"266","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"268","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"267","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"269","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
