"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V10VersionSite_180520.nlogo"
"Explo_V10_Scenario2"
"05/19/2020 10:06:53:371 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","SCENARIO","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%","population-tested%","total-nb-tests","total-nb-contagious","contagious-detected%","contagious-lockeddown%","proportion-non-contagious-lockeddown%","proportion-total-contagious-lockeddown-tracked","proportion-total-contagious-lockeddown-symptom"
"90","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","2","1","100","100","66.66666666666666","0","100"
"91","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"93","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"88","1","0.5","0.1","0","0.95","1","Confinement simple","84","0.1","0.1","21","0.15","0.15","0.05","1","2","50","100","33.33333333333333","50","50"
"94","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"92","1","0.5","0.1","0","0.95","1","Confinement simple","80","0.1","0.1","20","0.2","0.2","0.05","1","2","50","100","50","50","50"
"85","1","0.5","0.1","0","0.95","1","Confinement simple","118","0.1","0.1","30","0.15","0.15","0.05","1","2","50","100","50","0","100"
"95","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"69","1","0.5","0.1","0","0.95","1","Confinement simple","202","0.1","0.2","51","0.3","0.3","0.05","1","4","25","100","55.55555555555556","0","100"
"97","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"81","1","0.5","0.1","0","0.95","1","Confinement simple","155","0.15","0.2","39","0.2","0.2","0.05","1","4","25","100","42.857142857142854","0","100"
"99","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"87","1","0.5","0.1","0","0.95","1","Confinement simple","146","0.1","0.15","37","0.25","0.25","0.05","1","3","33.33333333333333","100","57.14285714285714","0","100"
"100","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.35000000000000003","0.35000000000000003","0.05","1","1","100","100","85.71428571428571","0","100"
"101","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"98","1","0.5","0.1","0","0.95","1","Confinement simple","108","0.1","0.1","27","0.15","0.15","0.05","1","2","50","100","50","0","100"
"108","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.05","0.05","0.05","1","1","100","100","0","0","100"
"103","1","0.5","0.3","0","0.95","1","Confinement simple","97","0.1","0.1","24","0.2","0.2","0.05","2","2","50","100","60","0","100"
"109","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"110","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"111","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"112","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"113","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"106","1","0.5","0.3","0","0.95","1","Confinement simple","126","0.1","0.1","32","0.35000000000000003","0.35000000000000003","0.05","1","2","50","100","75","0","100"
"114","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"115","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"96","1","0.5","0.1","0","0.95","1","Confinement simple","178","0.1","0.2","45","0.3","0.3","0.05","1","4","25","100","55.55555555555556","0","100"
