"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V11VersionSite_250520.nlogo"
"Explo_V11_Scenario-1-2"
"05/26/2020 00:09:04:623 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","fixed-seed?","SCENARIO","Repartition-initiale-des-malades","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%"
"87","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","196","1.15","1.3","49","0","0"
"85","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","200","0.95","1.25","50","0","0"
"15","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","860","40.050000000000004","70.75","215","0","0"
"88","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","200","1.0999999999999999","1.35","50","0","0"
"30","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","744","32.300000000000004","67.4","186","0","0"
"89","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","201","1.5","1.95","50","0","0"
"95","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","142","1.0999999999999999","1.25","36","0","0"
"99","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","136","1.35","1.4000000000000001","34","0","0"
"98","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","145","1.15","1.2","36","0","0"
"105","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","103","1.3","1.3","26","0","0"
"101","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","140","1.15","1.25","35","0","0"
"96","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","225","1.25","1.6500000000000001","56","0","0"
"102","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","160","1.0999999999999999","1.3","40","0","0"
"108","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","137","1.15","1.2","34","0","0"
"104","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","180","1.2","1.5","45","0","0"
